"Adam Thompson","Q75712717","2019 United Kingdom general election","Amber Valley","Labour Party"
"Alex Stevenson",,,,
"Daniel Bamford",,,,
"David Bookbinder",,,,
"Gillian Shaw",,,,
"Graham Brocklebank",,,,
"Hugh Price",,,,
"Irene McGibbon",,,,
"John Devine",,,,
"Kate Smith","Q75838719","2019 United Kingdom general election","Amber Valley","Liberal Democrats"
"Kevin Gillott",,,,
"Lian Pizzey","Q75975136","2019 United Kingdom general election","Amber Valley","Green Party of England and Wales"
"Matt McGuinness",,,,
"Michael Clarke",,,,
"Paul Snell",,,,
"Roger Shelley",,,,
"Sam Thing",,,,
"Stewart Reynolds","Q98792821","1992 United Kingdom general election","Aldridge-Brownhills","Liberal Democrats"
"Stuart Bent",,,,
"Sue Ransome",,,,
"Tom Snowdon",,,,
