id,name,party,partyLabel,votes,election,electionLabel,ranking
Q580847,Nigel Mills,Q9626,Conservative Party (UK),29096,Q30173038,General election 2019,1
,Adam Thompson,Q9630,Labour Party (UK),12210,Q30173038,General election 2019,2
,Kate Smith,Q9624,Liberal Democrats (UK),2873,Q30173038,General election 2019,3
,Lian Pizzey,Q9669,Green Party of England and Wales,1388,Q30173038,General election 2019,4
Q580847,Nigel Mills,Q9626,Conservative Party (UK),25905,Q25052149,General election 2017,1
,James Dawson,Q9630,Labour Party (UK),17605,Q25052149,General election 2017,2
,Kate Smith,Q9624,Liberal Democrats (UK),1100,Q25052149,General election 2017,3
,Matt McGuinness,Q9669,Green Party of England and Wales,650,Q25052149,General election 2017,4
,Daniel Bamford,Q327591,Independent (politician),551,Q25052149,General election 2017,5
Q580847,Nigel Mills,Q9626,Conservative Party (UK),20106,Q3586935,General election 2015,1
,Kevin Gillott,Q9630,Labour Party (UK),15901,Q3586935,General election 2015,2
,Stuart Bent,Q10647,UK Independence Party,7263,Q3586935,General election 2015,3
,Kate Smith,Q9624,Liberal Democrats (UK),1360,Q3586935,General election 2015,4
,John Devine,Q9669,Green Party of England and Wales,1087,Q3586935,General election 2015,5
Q580847,Nigel Mills,Q9626,Conservative Party (UK),17746,Q215622,General election 2010,1
Q6304520,Judy Mallaber,Q9630,Labour Party (UK),17210,Q215622,General election 2010,2
,Tom Snowdon,Q9624,Liberal Democrats (UK),6636,Q215622,General election 2010,3
,Michael Clarke,Q161269,British National Party,3195,Q215622,General election 2010,4
,Sue Ransome,Q10647,UK Independence Party,906,Q215622,General election 2010,5
,Sam Thing,Q1421227,Official Monster Raving Loony Party,265,Q215622,General election 2010,6
Q6304520,Judy Mallaber,Q9630,Labour Party (UK),21593,Q428598,General election 2005,1
,Gillian Shaw,Q9626,Conservative Party (UK),16318,Q428598,General election 2005,2
,Kate Smith,Q9624,Liberal Democrats (UK),6225,Q428598,General election 2005,3
,Paul Snell,Q161269,British National Party,1243,Q428598,General election 2005,4
,Alex Stevenson,Q162246,Veritas (political party),1224,Q428598,General election 2005,5
,Hugh Price,Q10647,UK Independence Party,788,Q428598,General election 2005,6
Q6304520,Judy Mallaber,Q9630,Labour Party (UK),23101,Q590740,General election 2001,1
,Gillian Shaw,Q9626,Conservative Party (UK),15874,Q590740,General election 2001,2
,Kate Smith,Q9624,Liberal Democrats (UK),5538,Q590740,General election 2001,3
Q6304520,Judy Mallaber,Q9630,Labour Party (UK),29943,Q918503,General election 1997,1
Q13530012,Phillip Oppenheim,Q9626,Conservative Party (UK),18330,Q918503,General election 1997,2
,Roger Shelley,Q9624,Liberal Democrats (UK),4219,Q918503,General election 1997,3
,Irene McGibbon,Q278315,Referendum Party,2283,Q918503,General election 1997,4
Q13530012,Phillip Oppenheim,Q9626,Conservative Party (UK),27418,Q543609,General election 1992,1
Q6227056,John Cooper,Q9630,Labour Party (UK),26706,Q543609,General election 1992,2
,Graham Brocklebank,Q9624,Liberal Democrats (UK),5294,Q543609,General election 1992,3
Q13530012,Phillip Oppenheim,Q9626,Conservative Party (UK),28603,Q918472,General election 1987,1
,David Bookbinder,Q9630,Labour Party (UK),19103,Q918472,General election 1987,2
,Stewart Reynolds,Q622441,Liberal Party (UK),7904,Q918472,General election 1987,3
Q13530012,Phillip Oppenheim,Q9626,Conservative Party (UK),21502,Q918466,General election 1983,1
,David Bookbinder,Q9630,Labour Party (UK),18184,Q918466,General election 1983,2
,Brian Johnson,Q622441,Liberal Party (UK),10989,Q918466,General election 1983,3
,Peter Griffiths,Q327591,Independent (politician),856,Q918466,General election 1983,4
